Animal,Weight,Age,Sex,Club,Homeschooled
Goose,15.4,13,F,FR,Y
Goose,13,9,F,FMN,N
Goose,10.7,11,F,FR,Y
Rabbits,16.1,13,M,FR,Y
Rabbits,12.6,11,M,FR,Y
Rabbits,11.6,12,F,FR,Y
Lamb,149,13,F,FR,Y
Lamb,166,13,F,FR,Y
Lamb,138,14,F,NPP,N
Lamb,152,15,F,NPP,N
Lamb,122,14,F,NPP,N
Lamb,123,12,M,NPP,N
Lamb,94,9,F,FMN,Y
Hens,24.9,15,M,FMN,Y
Hens,26,12,M,NPP,N
Hens,28.3,13,M,FMN,N
Hens,21.9,13,M,ADC,Y
Hens,23.3,12,M,FMN,Y
Hens,24.7,30,F,FMN,N
Hens,23.6,11,F,CC,N
Hens,21.7,9,M,CC,N
Hens,22.2,9,F,FMN,Y
Turkey,41.5,15,M,FMN,N
Turkey,26.8,14,M,FMN,N
Turkey,27.5,12,M,NPP,N
Turkey,44.4,11,F,FR,Y
Turkey,39.9,17,M,FMN,Y
Turkey,41,13,M,FMN,N
Turkey,25.9,14,F,CC,N
Turkey,41.1,11,F,FR,Y
Turkey,28.3,13,F,FR,Y
Turkey,42.7,12,F,FR,Y
Turkey,39.4,11,M,FMN,N
Turkey,31,14,F,NPP,N
Turkey,29.4,13,F,FR,Y
Turkey,22.3,14,F,NPP,N
Turkey,20.1,11,M,ADC,N
Turkey,20,9,M,MSSC,Y
Turkey,41.5,15,F,FMN,Y
Turkey,26.9,18,M,FMN,Y
Turkey,23.8,15,M,FMN,Y
Turkey,41.4,13,M,ADC,Y
Turkey,41.8,12,M,FMN,N
Turkey,32.6,13,M,FR,Y
Turkey,43,9,F,FMN,Y
Turkey,24.7,11,M,FR,Y
Turkey,43,12,M,FMN,Y
Turkey,20,13,M,ADC,N
Goat,79,13,M,ADC,Y
Steer,1358,17,F,FMN,N
Steer,1330,9,F,FMN,N
Swine,255,17,F,FMN,N
Swine,245,14,F,NPP,N
Swine,250,9,M,MSSC,Y
Swine,229,14,F,NPP,N
Swine,265,12,M,NPP,N
Swine,239,17,M,FMN,Y
Swine,276,13,F,FR,Y
Swine,231,14,F,CC,N
Swine,269,9,F,FMN,N
Swine,242,18,M,FMN,Y
Swine,261,12,M,NPP,N
Swine,225,15,F,FMN,Y
Swine,220,14,M,FMN,N
Swine,222,9,M,MSSC,Y
Turkey,37,17,M,FMN,Y
Goose,13.7,13,F,FR,Y
